fips,state,county,population,lat,lon,region
48029,Texas,Bexar,2003554,29.44928723,-98.52019748,TX
29019,Missouri,Boone,180463,38.99186229,-92.30723575,MI
36067,New York,Broome,190488,42.15903158,-75.81326086,NY
51003,Virginia,Campbell,54885,37.20553386,-79.09678609,VA
53011,Washington,Clark,488241,45.77568046,-122.4829204,WA
18097,Indiana,Clinton,32399,40.30319754,-86.47277257,IN
17031,Illinois,Cook,5150233,41.84144849,-87.81658794,IL
5031,Arkansas,Craighead,110332,35.83018283,-90.63235729,AR
48113,Texas,Dallas,2635516,32.76670599,-96.7779605,TX
8031,Colorado,DENVER,727211,39.76018276,-104.8725695,CO
48157,Texas,Fort Bend,811688,29.52704478,-95.77219463,TX
1089,Tennessee,Giles,29464,35.20222469,-87.03992678,TN
24025,Maryland,Harford,255441,39.55010644,-76.3077594,MD
13153,Georgia,Houston,157863,32.45802497,-83.66879087,GA
6029,California,Kern,900202,35.34329425,-118.7277796,CA
1089,Tennessee,Lincoln,34366,35.13738622,-86.58910106,TN
19113,Iowa,Linn,226706,42.07923082,-91.59809485,IA
42069,Pennsylvania,Lycoming,113299,41.34310539,-77.06629984,PA
37119,North Carolina,Mecklenburg,1110356,35.24469268,-80.8317671,NC
25025,Massachusetts,Norfolk,706775,42.16073095,-71.20530408,MA
12095,Florida,Orange,1393452,28.51367621,-81.31799498,FL
4021,Arizona,Pinal,462789,32.90525627,-111.3449483,AZ
55025,Wisconsin,Rock,163354,42.67151616,-89.071479,WI
49035,Utah,Salt Lake,1160437,40.66616532,-111.9216011,UT
6071,California,San Bernardino,2180085,34.84060306,-116.1774685,CA
20177,Kansas,Shawnee,176875,39.04100763,-95.7557264,KS
6099,California,Stanislaus,550660,37.55862499,-120.9970722,CA
39151,Ohio,Stark,370606,40.81482476,-81.36437305,OH
48439,Texas,Tarrant,2102515,32.77143818,-97.29101614,TX
17019,Illinois,Vermilion,75758,40.18417171,-87.73384359,IL
39153,Ohio,Wayne,115710,40.82925852,-81.88844833,OH
9003,Connecticut,Windham,116782,41.82972709,-71.98182316,CT
42133,Pennsylvania,York,449058,39.9210089,-76.73040131,PA
